Project Name,Country,Capacity (kt H2/y),Investment Cost (MUSD),Source,Date Online,Technology,Capacity Change (Simulated),Country_Name,Continent,Region
MYRTE,FRA,0.11,0.016492385,Production,2012.0,Unknown,1.999993265,France,Europe,Western Europe
Eucolino Schwandorf,DEU,0.108,0.01871136,Production,2012.0,Unknown,4.999993169,Germany,Europe,Western Europe
H2Herten,DEU,0.165,0.027965348,Production,2012.0,Unknown,4.999995911,Germany,Europe,Western Europe
"PostBus Hydrogen bus, Brugg, aargau CHIC",CHE,0.276,0.0467784,Production,2012.0,Unknown,1.999998749,Switzerland,Europe,Central Europe
Hydrogen mini grid system Yorkshire (Rotherham),GBR,0.03,0.005084609,Production,2012.0,Unknown,1.999989417,United Kingdom,Europe,Western Europe
H2 research center BTU Cottbus,DEU,0.14,0.023728174,Production,2012.0,Unknown,4.999994708,Germany,Europe,Western Europe
"Fronius Energy Cell, self-sufficient house",AUT,0.00884,0.001325388,Production,2012.0,Unknown,1.999988399,Austria,Europe,Central Europe
Agios Efstratios,GRC,0.1,0.017325333,Production,2012.0,Unknown,1.999992784,Greece,Europe,South East Europe
Commercial Plant Svartsengi/George Olah plant,ISL,6.0,1.03952,Production,2012.0,Others/Various,1.999723387,Iceland,Europe,Northern Europe
Emden I Biogas upgrading,DEU,0.312,0.05287993,Production,2012.0,Unknown,4.999997017,Germany,Europe,Western Europe
"Sunfire PtL demo ""Fuel1""",DEU,0.038,0.0077964,Production,2012.0,Unknown,4.999989801,Germany,Europe,Western Europe
"MicrobEnergy GmbH, Schwandorf",DEU,0.18,0.026987538,Production,2013.0,Unknown,4.999996633,Germany,Europe,Western Europe
CO2RRECT-Niederaussem,DEU,0.26,0.038982,Production,2013.0,Unknown,4.999999519,Germany,Europe,Western Europe
"BioPower2Gas, Allendorf, Eder",DEU,0.312,0.0467784,Production,2013.0,Unknown,4.999997017,Germany,Europe,Western Europe
P2G plant Erdgas Schwaben,DEU,1.0,0.149930769,Production,2013.0,Unknown,4.99996392,Germany,Europe,Western Europe
Haldor Topsoe - El-Opgraderet Biogas I,DNK,0.038,0.0077964,Production,2013.0,Unknown,1.999989801,Denmark,Europe,Northern Europe
"H2Move, Fraunhofer ISE",DEU,0.04,0.005997231,Production,2013.0,Solar PV,4.999989898,Germany,Europe,Western Europe
PtG-Elektrolyse im MW-Maßstab (R&D),DEU,0.3,0.050846087,Production,2013.0,Unknown,4.999997595,Germany,Europe,Western Europe
El Tubo - ACTA EL500,ESP,0.00312,0.000467784,Production,2013.0,Unknown,1.999988123,Spain,Europe,South West Europe
H2 Logic HRS with onsite electrolysis in Vejle,DNK,0.43071161,0.073,Production,2013.0,Unknown,1.999991307,Denmark,Europe,Northern Europe
"ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",DEU,6.3,1.067767826,Production,2013.0,Unknown,4.999708955,Germany,Europe,Western Europe
"Greenhouse heating, solar-H2",ITA,0.0025,0.000423717,Production,2013.0,Unknown,1.999988094,Italy,Europe,Southern Europe
H2 Logic 3 HRS with onsite electrolysis in Copenhagen,DNK,1.292134831,0.219,Production,2013.0,Unknown,1.999949866,Denmark,Europe,Northern Europe
Rozenburg Power2Gas Phase 1,NLD,0.007,0.001049515,Production,2013.0,Unknown,1.99998831,Netherlands,Europe,Western Europe
H2 Logic HRS with onsite electrolysis Holstebro,DNK,0.43071161,0.073,Production,2013.0,Unknown,1.999991307,Denmark,Europe,Northern Europe
H2 Logic HRS with onsite electrolysis Aalborg,DNK,0.43071161,0.073,Production,2013.0,Unknown,1.999991307,Denmark,Europe,Northern Europe
WindGas Falkenhagen,DEU,2.0,0.338973913,Production,2013.0,Onshore wind,4.999915813,Germany,Europe,Western Europe
"Oslo, CHIC",NOR,0.6,0.101692174,Production,2013.0,Unknown,1.999983163,Norway,Europe,Northern Europe
RENOVAGAS,ESP,0.0092,0.00155928,Production,2014.0,Unknown,1.999988416,Spain,Europe,South West Europe
Electrochaea: Biological methanation in Avedøre,DNK,1.2,0.203384348,Production,2014.0,Unknown,1.999954299,Denmark,Europe,Northern Europe
"Hydrogen Valley South Tyrol - Bolzano, CHIC",ITA,1.5,0.254230435,Production,2014.0,Unknown,1.999939867,Italy,Europe,Southern Europe
H2BER (Berlin airport),DEU,0.5,0.084743478,Production,2014.0,Onshore wind,4.999987973,Germany,Europe,Western Europe
"Hanau, Wolfgang Industrial Park",DEU,0.0208,0.00311856,Production,2014.0,Unknown,4.999988974,Germany,Europe,Western Europe
Reduction and Reuse of CO2: Renewable Fuels for Electricity Production- ZHAW,CHE,0.00156,0.000233892,Production,2014.0,Unknown,1.999988048,Switzerland,Europe,Central Europe
Thüga PtG plant Frankfurt/Main,DEU,0.3,0.044979231,Production,2014.0,Unknown,4.999997595,Germany,Europe,Western Europe
Woikoski Kokkola H2 plant,FIN,9.0,1.525382609,Production,2014.0,Unknown,1.999579067,Finland,Europe,Northern Europe
MeGa-stoRE,DNK,0.00644,0.001091496,Production,2014.0,Unknown,1.999988283,Denmark,Europe,Northern Europe
Don Quichote,BEL,0.3,0.050846087,Production,2015.0,Onshore wind,1.999997595,Belgium,Europe,Western Europe
Pilot & Demo PtM HSR,CHE,0.025,0.004237174,Production,2015.0,Unknown,1.999989176,Switzerland,Europe,Central Europe
DemoSNG,SWE,0.1456,0.02182992,Production,2015.0,Unknown,1.999994978,Sweden,Europe,Northern Europe
"Wind2Hydrogen, HyCentA",AUT,0.1,0.014993077,Production,2015.0,Unknown,1.999992784,Austria,Europe,Central Europe
